[combat] time=0.332 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[combat] time=0.333 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
[combat] time=0.333 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=31;hex=596F7520617265206E6F7720696E76697369626C65202872616E6B20362900
[action] time=0.553 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.555 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.573 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[anim] time=3.375 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.375 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.375 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.375 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.375 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.375 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.382 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.382 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.383 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.383 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.383 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.383 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.390 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.391 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.391 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.391 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.398 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.399 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.399 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.399 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.399 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.400 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.400 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.407 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=3.408 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=3.408 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=3.408 unit=creature:604 track=0 requested=0 played=0 kind=Exact
